method,AA_mean,AA_std,AF_mean,AF_std,BWT_mean,BWT_std,FWT_mean,FWT_std,replay_budget_mean,replay_budget_std,efficiency
FT,0.69475,0.00585,0.275125,0.006375,-0.275125,0.006375,0.092812,0.001937,0.0,0.0,0.0
ConstReplay_0.1,0.7895,0.0033,0.156125,0.001625,-0.156125,0.001625,0.119937,0.002687,11376.0,0.0,0.1046
ConstReplay_0.3,0.8246,0.009,0.101875,0.013,-0.101875,0.013,0.138625,0.00725,36024.0,0.0,0.0481
DIFE_only,0.8525,0.0074,0.060375,0.004375,-0.059688,0.003688,0.130312,0.004187,108664.5,1540.5,0.0198
MV_only,0.84605,0.00195,0.060812,0.000688,-0.058687,0.001437,0.12,0.001125,97170.0,0.0,0.0221
DIFE_MV,0.8463,0.0002,0.071188,0.000437,-0.071188,0.000437,0.121625,0.004125,86031.0,711.0,0.0237
