method,AA_mean,AA_std,AF_mean,AF_std,BWT_mean,BWT_std,FWT_mean,FWT_std,replay_budget_mean,replay_budget_std,efficiency
FT,0.7000399999999999,0.012528144315899286,0.271325,0.013318596022103842,-0.271325,0.013318596022103842,0.09687500000000002,0.005221948869914378,0.0,0.0,0.0
ConstReplay_0.1,0.78706,0.0070672767032287625,0.16002500000000003,0.0062915618092807485,-0.16002500000000003,0.0062915618092807485,0.124125,0.0032005858838656358,11376.0,0.0,0.0978
ConstReplay_0.3,0.8288399999999999,0.00814852133825522,0.10212499999999998,0.009626136296562613,-0.10212499999999998,0.009626136296562613,0.1386,0.007714191467678256,36024.0,0.0,0.047
DIFE_only,0.83064,0.0035696498427716474,0.10124999999999999,0.004644216833869834,-0.10124999999999999,0.004644216833869834,0.137875,0.006083789937201968,36024.0,0.0,0.0472
DIFE_MV,0.8290799999999999,0.00984873595950263,0.09942499999999999,0.008307225770376063,-0.09942499999999999,0.008307225770376063,0.12719999999999998,0.006314962391020238,33148.4,579.668387959875,0.0519
