method,AA_mean,AA_std,AF_mean,AF_std,BWT_mean,BWT_std,FWT_mean,FWT_std,replay_budget_mean,replay_budget_std,efficiency
FT,0.7041999999999999,0.010472105805424207,0.26634375,0.009882661189553154,-0.26634375,0.009882661189553154,0.09631250000000002,0.005701219715990613,0.0,0.0,0.0
ConstReplay_0.1,0.7925,0.0044821869662029995,0.15121874999999996,0.0048471762075975805,-0.15121874999999996,0.0048471762075975805,0.12028125,0.009292711777920367,11376.0,0.0,0.1012
ConstReplay_0.3,0.8241499999999999,0.0060085355953010955,0.10284374999999998,0.00935346484932187,-0.10284374999999998,0.00935346484932187,0.13728125,0.010646072852817599,36024.0,0.0,0.0454
DIFE_only,0.83265,0.010929432739168127,0.0920625,0.013439825380190047,-0.0920625,0.013439825380190047,0.11778125,0.011864263238292549,36024.0,0.0,0.0484
MV_only,0.83495,0.005387253474638102,0.09256250000000002,0.0019970681635838043,-0.09256250000000002,0.0019970681635838043,0.13634374999999999,0.01130036469267696,36024.0,0.0,0.0482
DIFE_MV,0.8337749999999999,0.0006647367900154321,0.09681249999999997,0.002374177489152811,-0.09681249999999997,0.002374177489152811,0.12678125,0.008736764543439406,36024.0,0.0,0.0471
