method,AA_mean,AA_std,AF_mean,AF_std,BWT_mean,BWT_std,FWT_mean,FWT_std,replay_budget_mean,replay_budget_std,efficiency
FT,0.7712,0.04313125394266513,0.2515166666666666,0.053439983210659334,-0.2515166666666666,0.053439983210659334,0.0035083333333333273,0.01006127753098758,0.0,0.0,0.0
ConstReplay_0.1,0.9595600000000001,0.0010609429767900042,0.016100000000000014,0.0012313610356024715,-0.016100000000000014,0.0012313610356024715,-0.002675000000000006,0.015047466564176173,70500.0,0.0,0.0334
ConstReplay_0.3,0.9609533333333333,0.0010471973177115998,0.014808333333333349,0.001248387849276913,-0.014808333333333349,0.001248387849276913,-0.0007583333333333377,0.010037436868488334,214320.0,0.0,0.011
DIFE_only,0.9598400000000001,0.0005905929224093852,0.014933333333333318,0.0011715967262197744,-0.014933333333333318,0.0011715967262197744,-0.004458333333333339,0.015817347192946803,661290.0,1151.2601791080938,0.0036
MV_only,0.9594800000000001,0.000965125207766619,0.014800000000000016,0.0021981052446747537,-0.014800000000000016,0.0021981052446747537,-0.0016916666666666718,0.008938431381151591,580215.0,0.0,0.0041
DIFE_MV,0.9608599999999999,0.0008491564441649242,0.01385000000000001,0.0008691470915021571,-0.01385000000000001,0.0008691470915021571,-0.0034000000000000085,0.00988692318165768,531805.0,664.6803743153547,0.0045
