method,n_seeds,AA_mean,AA_std,AF_mean,AF_std,BWT_mean,BWT_std,FWT_mean,FWT_std,replay_mean,replay_std,wall_clock_mean
FT,5,0.7000399999999999,0.012528144315899286,0.271325,0.013318596022103842,-0.271325,0.013318596022103842,0.09687500000000002,0.005221948869914378,0.0,0.0,110.75721673965454
ConstReplay_0.1,5,0.78706,0.0070672767032287625,0.16002500000000003,0.0062915618092807485,-0.16002500000000003,0.0062915618092807485,0.124125,0.0032005858838656358,11376.0,0.0,113.97803797721863
ConstReplay_0.3,5,0.8299799999999999,0.004919105609762869,0.10422499999999998,0.007243272740964539,-0.10422499999999998,0.007243272740964539,0.139225,0.00947081041938863,36024.0,0.0,121.7614511013031
DIFE_only,5,0.8299799999999999,0.004919105609762869,0.10422499999999998,0.007243272740964539,-0.10422499999999998,0.007243272740964539,0.139225,0.00947081041938863,36024.0,0.0,107.42650651931763
MV_only,5,0.8313,0.008750999942863638,0.09872499999999998,0.008428893758969786,-0.09872499999999998,0.008428893758969786,0.13620000000000002,0.008102700167228217,33511.8,1562.043968651331,106.17641921043396
DIFE_MV,5,0.8346200000000001,0.006173297336108112,0.09622499999999998,0.008034845984833817,-0.09622499999999998,0.008034845984833817,0.13182500000000003,0.0054912430286775775,32721.8,1554.0326122704118,108.41450028419494
