method,n_seeds,AA_mean,AA_std,AF_mean,AF_std,BWT_mean,BWT_std,FWT_mean,FWT_std,replay_mean,replay_std
FT,5,0.7000399999999999,0.012528144315899286,0.271325,0.013318596022103842,-0.271325,0.013318596022103842,0.0,0.0,0.0,0.0
ConstReplay_0.1,5,0.78706,0.0070672767032287625,0.16002500000000003,0.0062915618092807485,-0.16002500000000003,0.0062915618092807485,0.0,0.0,11376.0,0.0
ConstReplay_0.3,5,0.8299799999999999,0.004919105609762869,0.10422499999999998,0.007243272740964539,-0.10422499999999998,0.007243272740964539,0.0,0.0,36024.0,0.0
DIFE_only,5,0.8299799999999999,0.004919105609762869,0.10422499999999998,0.007243272740964539,-0.10422499999999998,0.007243272740964539,0.0,0.0,36024.0,0.0
MV_only,5,0.8313,0.008750999942863638,0.09872499999999998,0.008428893758969786,-0.09872499999999998,0.008428893758969786,0.0,0.0,33511.8,1562.043968651331
DIFE_MV,5,0.8370599999999999,0.006510483852986684,0.09334999999999996,0.008567525897247118,-0.09334999999999996,0.008567525897247118,0.0,0.0,32421.6,1619.4807315926917
