method,AA_mean,AA_std,AF_mean,AF_std,BWT_mean,BWT_std,FWT_mean,FWT_std,replay_budget_mean,replay_budget_std,efficiency
DIFE_only,0.8219,0.0033484324690815446,0.111425,0.001978951742716344,-0.111425,0.001978951742716344,0.136625,0.009377499666755534,23700.0,0.0,0.0
DIFE_MV,0.8186399999999999,0.009270512391448495,0.12025,0.009325033512004125,-0.12025,0.009325033512004125,0.138875,0.008298343208134972,23589.4,221.19999999999996,0.0
