method,AA_mean,AA_std,AF_mean,AF_std,BWT_mean,BWT_std,FWT_mean,FWT_std,replay_budget_mean,replay_budget_std,efficiency
DIFE_only,0.7718,0.0,0.171125,0.0,-0.171125,0.0,0.12824999999999998,0.0,5688.0,0.0,0.0
DIFE_MV,0.7571,0.0,0.19699999999999998,0.0,-0.19699999999999998,0.0,0.111125,0.0,5688.0,0.0,0.0
